Frame	Phase
00:00:02.180	GallbladderDissection
00:00:02.200	GallbladderDissection
00:00:02.220	GallbladderDissection
00:00:02.240	GallbladderDissection
00:00:02.260	GallbladderDissection
00:00:02.280	GallbladderDissection
00:00:02.300	GallbladderDissection
00:00:02.320	GallbladderDissection
00:00:02.340	GallbladderDissection
00:00:02.360	GallbladderDissection
00:00:02.380	GallbladderDissection
00:00:02.400	GallbladderDissection
00:00:02.420	GallbladderDissection
00:00:02.440	GallbladderDissection
00:00:02.460	GallbladderDissection
00:00:02.480	GallbladderDissection
00:00:02.500	GallbladderDissection
00:00:02.520	GallbladderDissection
00:00:02.540	GallbladderDissection
00:00:02.560	GallbladderDissection
00:00:02.580	GallbladderDissection
00:00:02.600	GallbladderDissection
00:00:02.620	GallbladderDissection
00:00:02.640	GallbladderDissection
00:00:02.660	GallbladderDissection
00:00:02.680	GallbladderDissection
00:00:02.700	GallbladderDissection
00:00:02.720	GallbladderDissection
00:00:02.740	GallbladderDissection
00:00:02.760	GallbladderDissection
00:00:02.780	GallbladderDissection
00:00:02.800	GallbladderDissection
00:00:02.820	GallbladderDissection
00:00:02.840	GallbladderDissection
00:00:02.860	GallbladderDissection
00:00:02.880	GallbladderDissection
00:00:02.900	GallbladderDissection
00:00:02.920	GallbladderDissection
00:00:02.940	GallbladderDissection
00:00:02.960	GallbladderDissection
00:00:02.980	GallbladderDissection
00:00:03.000	GallbladderDissection
00:00:03.020	GallbladderDissection
00:00:03.040	GallbladderDissection
00:00:03.060	GallbladderDissection
00:00:03.080	GallbladderDissection
00:00:03.100	GallbladderDissection
00:00:03.120	GallbladderDissection
00:00:03.140	GallbladderDissection
00:00:03.160	GallbladderDissection
00:00:03.180	GallbladderDissection
00:00:03.200	GallbladderDissection
00:00:03.220	GallbladderDissection
00:00:03.240	GallbladderDissection
00:00:03.260	GallbladderDissection
00:00:03.280	GallbladderDissection
00:00:03.300	GallbladderDissection
00:00:03.320	GallbladderDissection
00:00:03.340	GallbladderDissection
00:00:03.360	GallbladderDissection
00:00:03.380	GallbladderDissection
00:00:03.400	GallbladderDissection
00:00:03.420	GallbladderDissection
00:00:03.440	GallbladderDissection
00:00:03.460	GallbladderDissection
00:00:03.480	GallbladderDissection
00:00:03.500	GallbladderDissection
00:00:03.520	GallbladderDissection
00:00:03.540	GallbladderDissection
00:00:03.560	GallbladderDissection
00:00:03.580	GallbladderDissection
00:00:03.600	GallbladderDissection
00:00:03.620	GallbladderDissection
00:00:03.640	GallbladderDissection
00:00:03.660	GallbladderDissection
00:00:03.680	GallbladderDissection
00:00:03.700	GallbladderDissection
00:00:03.720	GallbladderDissection
00:00:03.740	GallbladderDissection
00:00:03.760	GallbladderDissection
00:00:03.780	GallbladderDissection
00:00:03.800	GallbladderDissection
00:00:03.820	GallbladderDissection
00:00:03.840	GallbladderDissection
00:00:03.860	GallbladderDissection
00:00:03.880	GallbladderDissection
00:00:03.900	GallbladderDissection
00:00:03.920	GallbladderDissection
00:00:03.940	GallbladderDissection
00:00:03.960	GallbladderDissection
00:00:03.980	GallbladderDissection
00:00:04.000	GallbladderDissection
00:00:04.020	GallbladderDissection
00:00:04.040	GallbladderDissection
00:00:04.060	GallbladderDissection
00:00:04.080	GallbladderDissection
00:00:04.100	GallbladderDissection
00:00:04.120	GallbladderDissection
00:00:04.140	GallbladderDissection
00:00:04.160	GallbladderDissection
00:00:04.180	GallbladderDissection
00:00:04.200	GallbladderDissection
00:00:04.220	GallbladderDissection
00:00:04.240	GallbladderDissection
00:00:04.260	GallbladderDissection
00:00:04.280	GallbladderDissection
00:00:04.300	GallbladderDissection
00:00:04.320	GallbladderDissection
00:00:04.340	GallbladderDissection
00:00:04.360	GallbladderDissection
00:00:04.380	GallbladderDissection
00:00:04.400	GallbladderDissection
00:00:04.420	GallbladderDissection
00:00:04.440	GallbladderDissection
00:00:04.460	GallbladderDissection
00:00:04.480	GallbladderDissection
00:00:04.500	GallbladderDissection
00:00:04.520	GallbladderDissection
00:00:04.540	GallbladderDissection
00:00:04.560	GallbladderDissection
00:00:04.580	GallbladderDissection
00:00:04.600	GallbladderDissection
00:00:04.620	GallbladderDissection
00:00:04.640	GallbladderDissection
00:00:04.660	GallbladderDissection
00:00:04.680	GallbladderDissection
00:00:04.700	GallbladderDissection
00:00:04.720	GallbladderDissection
00:00:04.740	GallbladderDissection
00:00:04.760	GallbladderDissection
00:00:04.780	GallbladderDissection
00:00:04.800	GallbladderDissection
00:00:04.820	GallbladderDissection
00:00:04.840	GallbladderDissection
00:00:04.860	GallbladderDissection
00:00:04.880	GallbladderDissection
00:00:04.900	GallbladderDissection
00:00:04.920	GallbladderDissection
00:00:04.940	GallbladderDissection
00:00:04.960	GallbladderDissection
00:00:04.980	GallbladderDissection
00:00:05.000	GallbladderDissection
00:00:05.020	GallbladderDissection
00:00:05.040	GallbladderDissection
00:00:05.060	GallbladderDissection
00:00:05.080	GallbladderDissection
00:00:05.100	GallbladderDissection
00:00:05.120	GallbladderDissection
00:00:05.140	GallbladderDissection
00:00:05.160	GallbladderDissection
00:00:05.180	GallbladderDissection
00:00:05.200	GallbladderDissection
00:00:05.220	GallbladderDissection
00:00:05.240	GallbladderDissection
00:00:05.260	GallbladderDissection
00:00:05.280	GallbladderDissection
00:00:05.300	GallbladderDissection
00:00:05.320	GallbladderDissection
00:00:05.340	GallbladderDissection
00:00:05.360	GallbladderDissection
00:00:05.380	GallbladderDissection
00:00:05.400	GallbladderDissection
00:00:05.420	GallbladderDissection
00:00:05.440	GallbladderDissection
00:00:05.460	GallbladderDissection
00:00:05.480	GallbladderDissection
00:00:05.500	GallbladderDissection
00:00:05.520	GallbladderDissection
00:00:05.540	GallbladderDissection
00:00:05.560	GallbladderDissection
00:00:05.580	GallbladderDissection
00:00:05.600	GallbladderDissection
00:00:05.620	GallbladderDissection
00:00:05.640	GallbladderDissection
00:00:05.660	GallbladderDissection
00:00:05.680	GallbladderDissection
00:00:05.700	GallbladderDissection
00:00:05.720	GallbladderDissection
00:00:05.740	GallbladderDissection
00:00:05.760	GallbladderDissection
00:00:05.780	GallbladderDissection
00:00:05.800	GallbladderDissection
00:00:05.820	GallbladderDissection
00:00:05.840	GallbladderDissection
00:00:05.860	GallbladderDissection
00:00:05.880	GallbladderDissection
00:00:05.900	GallbladderDissection
00:00:05.920	GallbladderDissection
00:00:05.940	GallbladderDissection
00:00:05.960	GallbladderDissection
00:00:05.980	GallbladderDissection
00:00:06.000	GallbladderDissection
00:00:06.020	GallbladderDissection
00:00:06.040	GallbladderDissection
00:00:06.060	GallbladderDissection
00:00:06.080	GallbladderDissection
00:00:06.100	GallbladderDissection
00:00:06.120	GallbladderDissection
00:00:06.140	GallbladderDissection
00:00:06.160	GallbladderDissection
00:00:06.180	GallbladderDissection
00:00:06.200	GallbladderDissection
00:00:06.220	GallbladderDissection
00:00:06.240	GallbladderDissection
00:00:06.260	GallbladderDissection
00:00:06.280	GallbladderDissection
00:00:06.300	GallbladderDissection
00:00:06.320	GallbladderDissection
00:00:06.340	GallbladderDissection
00:00:06.360	GallbladderDissection
00:00:06.380	GallbladderDissection
00:00:06.400	GallbladderDissection
00:00:06.420	GallbladderDissection
00:00:06.440	GallbladderDissection
00:00:06.460	GallbladderDissection
00:00:06.480	GallbladderDissection
00:00:06.500	GallbladderDissection
00:00:06.520	GallbladderDissection
00:00:06.540	GallbladderDissection
00:00:06.560	GallbladderDissection
00:00:06.580	GallbladderDissection
00:00:06.600	GallbladderDissection
00:00:06.620	GallbladderDissection
00:00:06.640	GallbladderDissection
00:00:06.660	GallbladderDissection
00:00:06.680	GallbladderDissection
00:00:06.700	GallbladderDissection
00:00:06.720	GallbladderDissection
00:00:06.740	GallbladderDissection
00:00:06.760	GallbladderDissection
00:00:06.780	GallbladderDissection
00:00:06.800	GallbladderDissection
00:00:06.820	GallbladderDissection
00:00:06.840	GallbladderDissection
00:00:06.860	GallbladderDissection
00:00:06.880	GallbladderDissection
00:00:06.900	GallbladderDissection
00:00:06.920	GallbladderDissection
00:00:06.940	GallbladderDissection
00:00:06.960	GallbladderDissection
00:00:06.980	GallbladderDissection
00:00:07.000	GallbladderDissection
00:00:07.020	GallbladderDissection
00:00:07.040	GallbladderDissection
00:00:07.060	GallbladderDissection
00:00:07.080	GallbladderDissection
00:00:07.100	GallbladderDissection
00:00:07.120	GallbladderDissection
00:00:07.140	GallbladderDissection
00:00:07.160	GallbladderDissection
00:00:07.180	GallbladderDissection
00:00:07.200	GallbladderDissection
00:00:07.220	GallbladderDissection
00:00:07.240	GallbladderDissection
00:00:07.260	GallbladderDissection
00:00:07.280	GallbladderDissection
00:00:07.300	GallbladderDissection
00:00:07.320	GallbladderDissection
00:00:07.340	GallbladderDissection
00:00:07.360	GallbladderDissection
00:00:07.380	GallbladderDissection
00:00:07.400	GallbladderDissection
00:00:07.420	GallbladderDissection
00:00:07.440	GallbladderDissection
00:00:07.460	GallbladderDissection
00:00:07.480	GallbladderDissection
00:00:07.500	GallbladderDissection
00:00:07.520	GallbladderDissection
00:00:07.540	GallbladderDissection
00:00:07.560	GallbladderDissection
00:00:07.580	GallbladderDissection
00:00:07.600	GallbladderDissection
00:00:07.620	GallbladderDissection
00:00:07.640	GallbladderDissection
00:00:07.660	GallbladderDissection
00:00:07.680	GallbladderDissection
00:00:07.700	GallbladderDissection
00:00:07.720	GallbladderDissection
00:00:07.740	GallbladderDissection
00:00:07.760	GallbladderDissection
00:00:07.780	GallbladderDissection
00:00:07.800	GallbladderDissection
00:00:07.820	GallbladderDissection
00:00:07.840	GallbladderDissection
00:00:07.860	GallbladderDissection
00:00:07.880	GallbladderDissection
00:00:07.900	GallbladderDissection
00:00:07.920	GallbladderDissection
00:00:07.940	GallbladderDissection
00:00:07.960	GallbladderDissection
00:00:07.980	GallbladderDissection
00:00:08.000	GallbladderDissection
00:00:08.020	GallbladderDissection
00:00:08.040	GallbladderDissection
00:00:08.060	GallbladderDissection
00:00:08.080	GallbladderDissection
00:00:08.100	GallbladderDissection
00:00:08.120	GallbladderDissection
00:00:08.140	GallbladderDissection
00:00:08.160	GallbladderDissection
00:00:08.180	GallbladderDissection
00:00:08.200	GallbladderDissection
00:00:08.220	GallbladderDissection
00:00:08.240	GallbladderDissection
00:00:08.260	GallbladderDissection
00:00:08.280	GallbladderDissection
00:00:08.300	GallbladderDissection
00:00:08.320	GallbladderDissection
00:00:08.340	GallbladderDissection
00:00:08.360	GallbladderDissection
00:00:08.380	GallbladderDissection
00:00:08.400	GallbladderDissection
00:00:08.420	GallbladderDissection
00:00:08.440	GallbladderDissection
00:00:08.460	GallbladderDissection
00:00:08.480	GallbladderDissection
00:00:08.500	GallbladderDissection
00:00:08.520	GallbladderDissection
00:00:08.540	GallbladderDissection
00:00:08.560	GallbladderDissection
00:00:08.580	GallbladderDissection
00:00:08.600	GallbladderDissection
00:00:08.620	GallbladderDissection
00:00:08.640	GallbladderDissection
00:00:08.660	GallbladderDissection
00:00:08.680	GallbladderDissection
00:00:08.700	GallbladderDissection
00:00:08.720	GallbladderDissection
00:00:08.740	GallbladderDissection
00:00:08.760	GallbladderDissection
00:00:08.780	GallbladderDissection
00:00:08.800	GallbladderDissection
00:00:08.820	GallbladderDissection
00:00:08.840	GallbladderDissection
00:00:08.860	GallbladderDissection
00:00:08.880	GallbladderDissection
00:00:08.900	GallbladderDissection
00:00:08.920	GallbladderDissection
00:00:08.940	GallbladderDissection
00:00:08.960	GallbladderDissection
00:00:08.980	GallbladderDissection
00:00:09.000	GallbladderDissection
00:00:09.020	GallbladderDissection
00:00:09.040	GallbladderDissection
00:00:09.060	GallbladderDissection
00:00:09.080	GallbladderDissection
00:00:09.100	GallbladderDissection
00:00:09.120	GallbladderDissection
00:00:09.140	GallbladderDissection
00:00:09.160	GallbladderDissection
00:00:09.180	GallbladderDissection
00:00:09.200	GallbladderDissection
00:00:09.220	GallbladderDissection
00:00:09.240	GallbladderDissection
00:00:09.260	GallbladderDissection
00:00:09.280	GallbladderDissection
00:00:09.300	GallbladderDissection
00:00:09.320	GallbladderDissection
00:00:09.340	GallbladderDissection
00:00:09.360	GallbladderDissection
00:00:09.380	GallbladderDissection
00:00:09.400	GallbladderDissection
00:00:09.420	GallbladderDissection
00:00:09.440	GallbladderDissection
00:00:09.460	GallbladderDissection
00:00:09.480	GallbladderDissection
00:00:09.500	GallbladderDissection
00:00:09.520	GallbladderDissection
00:00:09.540	GallbladderDissection
00:00:09.560	GallbladderDissection
00:00:09.580	GallbladderDissection
00:00:09.600	GallbladderDissection
00:00:09.620	GallbladderDissection
00:00:09.640	GallbladderDissection
00:00:09.660	GallbladderDissection
00:00:09.680	GallbladderDissection
00:00:09.700	GallbladderDissection
00:00:09.720	GallbladderDissection
00:00:09.740	GallbladderDissection
00:00:09.760	GallbladderDissection
00:00:09.780	GallbladderDissection
00:00:09.800	GallbladderDissection
00:00:09.820	GallbladderDissection
00:00:09.840	GallbladderDissection
00:00:09.860	GallbladderDissection
00:00:09.880	GallbladderDissection
00:00:09.900	GallbladderDissection
00:00:09.920	GallbladderDissection
00:00:09.940	GallbladderDissection
00:00:09.960	GallbladderDissection
00:00:09.980	GallbladderDissection
00:00:10.000	GallbladderDissection
00:00:10.020	GallbladderDissection
00:00:10.040	GallbladderDissection
00:00:10.060	GallbladderDissection
00:00:10.080	GallbladderDissection
00:00:10.100	GallbladderDissection
00:00:10.120	GallbladderDissection
00:00:10.140	GallbladderDissection
00:00:10.160	GallbladderDissection
00:00:10.180	GallbladderDissection
00:00:10.200	GallbladderDissection
00:00:10.220	GallbladderDissection
00:00:10.240	GallbladderDissection
00:00:10.260	GallbladderDissection
00:00:10.280	GallbladderDissection
00:00:10.300	GallbladderDissection
00:00:10.320	GallbladderDissection
00:00:10.340	GallbladderDissection
00:00:10.360	GallbladderDissection
00:00:10.380	GallbladderDissection
00:00:10.400	GallbladderDissection
00:00:10.420	GallbladderDissection
00:00:10.440	GallbladderDissection
00:00:10.460	GallbladderDissection
00:00:10.480	GallbladderDissection
00:00:10.500	GallbladderDissection
00:00:10.520	GallbladderDissection
00:00:10.540	GallbladderDissection
00:00:10.560	GallbladderDissection
00:00:10.580	GallbladderDissection
00:00:10.600	GallbladderDissection
00:00:10.620	GallbladderDissection
00:00:10.640	GallbladderDissection
00:00:10.660	GallbladderDissection
00:00:10.680	GallbladderDissection
00:00:10.700	GallbladderDissection
00:00:10.720	GallbladderDissection
00:00:10.740	GallbladderDissection
00:00:10.760	GallbladderDissection
00:00:10.780	GallbladderDissection
00:00:10.800	GallbladderDissection
00:00:10.820	GallbladderDissection
00:00:10.840	GallbladderDissection
00:00:10.860	GallbladderDissection
00:00:10.880	GallbladderDissection
00:00:10.900	GallbladderDissection
00:00:10.920	GallbladderDissection
00:00:10.940	GallbladderDissection
00:00:10.960	GallbladderDissection
00:00:10.980	GallbladderDissection
00:00:11.000	GallbladderDissection
00:00:11.020	GallbladderDissection
00:00:11.040	GallbladderDissection
00:00:11.060	GallbladderDissection
00:00:11.080	GallbladderDissection
00:00:11.100	GallbladderDissection
00:00:11.120	GallbladderDissection
00:00:11.140	GallbladderDissection
00:00:11.160	GallbladderDissection
00:00:11.180	GallbladderDissection
00:00:11.200	GallbladderDissection
00:00:11.220	GallbladderDissection
00:00:11.240	GallbladderDissection
00:00:11.260	GallbladderDissection
00:00:11.280	GallbladderDissection
00:00:11.300	GallbladderDissection
00:00:11.320	GallbladderDissection
00:00:11.340	GallbladderDissection
00:00:11.360	GallbladderDissection
00:00:11.380	GallbladderDissection
00:00:11.400	GallbladderDissection
00:00:11.420	GallbladderDissection
00:00:11.440	GallbladderDissection
00:00:11.460	GallbladderDissection
00:00:11.480	GallbladderDissection
00:00:11.500	GallbladderDissection
00:00:11.520	GallbladderDissection
00:00:11.540	GallbladderDissection
00:00:11.560	GallbladderDissection
00:00:11.580	GallbladderDissection
00:00:11.600	GallbladderDissection
00:00:11.620	GallbladderDissection
00:00:11.640	GallbladderDissection
00:00:11.660	GallbladderDissection
00:00:11.680	GallbladderDissection
00:00:11.700	GallbladderDissection
00:00:11.720	GallbladderDissection
00:00:11.740	GallbladderDissection
00:00:11.760	GallbladderDissection
00:00:11.780	GallbladderDissection
00:00:11.800	GallbladderDissection
00:00:11.820	GallbladderDissection
00:00:11.840	GallbladderDissection
00:00:11.860	GallbladderDissection
00:00:11.880	GallbladderDissection
00:00:11.900	GallbladderDissection
00:00:11.920	GallbladderDissection
00:00:11.940	GallbladderDissection
00:00:11.960	GallbladderDissection
00:00:11.980	GallbladderDissection
00:00:12.000	GallbladderDissection
00:00:12.020	GallbladderDissection
00:00:12.040	GallbladderDissection
00:00:12.060	GallbladderDissection
00:00:12.080	GallbladderDissection
00:00:12.100	GallbladderDissection
00:00:12.120	GallbladderDissection
00:00:12.140	GallbladderDissection
00:00:12.160	GallbladderDissection
00:00:12.180	GallbladderDissection
00:00:12.200	GallbladderDissection
00:00:12.220	GallbladderDissection
00:00:12.240	GallbladderDissection
00:00:12.260	GallbladderDissection
00:00:12.280	GallbladderDissection
00:00:12.300	GallbladderDissection
00:00:12.320	GallbladderDissection
00:00:12.340	GallbladderDissection
00:00:12.360	GallbladderDissection
00:00:12.380	GallbladderDissection
00:00:12.400	GallbladderDissection
00:00:12.420	GallbladderDissection
00:00:12.440	GallbladderDissection
00:00:12.460	GallbladderDissection
00:00:12.480	GallbladderDissection
00:00:12.500	GallbladderDissection
00:00:12.520	GallbladderDissection
00:00:12.540	GallbladderDissection
00:00:12.560	GallbladderDissection
00:00:12.580	GallbladderDissection
00:00:12.600	GallbladderDissection
00:00:12.620	GallbladderDissection
00:00:12.640	GallbladderDissection
00:00:12.660	GallbladderDissection
00:00:12.680	GallbladderDissection
00:00:12.700	GallbladderDissection
00:00:12.720	GallbladderDissection
00:00:12.740	GallbladderDissection
00:00:12.760	GallbladderDissection
00:00:12.780	GallbladderDissection
00:00:12.800	GallbladderDissection
00:00:12.820	GallbladderDissection
00:00:12.840	GallbladderDissection
00:00:12.860	GallbladderDissection
00:00:12.880	GallbladderDissection
00:00:12.900	GallbladderDissection
00:00:12.920	GallbladderDissection
00:00:12.940	GallbladderDissection
00:00:12.960	GallbladderDissection
00:00:12.980	GallbladderDissection
00:00:13.000	GallbladderDissection
00:00:13.020	GallbladderDissection
00:00:13.040	GallbladderDissection
00:00:13.060	GallbladderDissection
00:00:13.080	GallbladderDissection
00:00:13.100	GallbladderDissection
00:00:13.120	GallbladderDissection
00:00:13.140	GallbladderDissection
00:00:13.160	GallbladderDissection
00:00:13.180	GallbladderDissection
00:00:13.200	GallbladderDissection
00:00:13.220	GallbladderDissection
00:00:13.240	GallbladderDissection
00:00:13.260	GallbladderDissection
00:00:13.280	GallbladderDissection
00:00:13.300	GallbladderDissection
00:00:13.320	GallbladderDissection
00:00:13.340	GallbladderDissection
00:00:13.360	GallbladderDissection
00:00:13.380	GallbladderDissection
00:00:13.400	GallbladderDissection
00:00:13.420	GallbladderDissection
00:00:13.440	GallbladderDissection
00:00:13.460	GallbladderDissection
00:00:13.480	GallbladderDissection
00:00:13.500	GallbladderDissection
00:00:13.520	GallbladderDissection
00:00:13.540	GallbladderDissection
00:00:13.560	GallbladderDissection
00:00:13.580	GallbladderDissection
00:00:13.600	GallbladderDissection
00:00:13.620	GallbladderDissection
00:00:13.640	GallbladderDissection
00:00:13.660	GallbladderDissection
00:00:13.680	CleaningCoagulation
00:00:13.700	CleaningCoagulation
00:00:13.720	CleaningCoagulation
00:00:13.740	CleaningCoagulation
00:00:13.760	CleaningCoagulation
00:00:13.780	CleaningCoagulation
00:00:13.800	CleaningCoagulation
00:00:13.820	CleaningCoagulation
00:00:13.840	CleaningCoagulation
00:00:13.860	CleaningCoagulation
00:00:13.880	CleaningCoagulation
00:00:13.900	CleaningCoagulation
00:00:13.920	CleaningCoagulation
00:00:13.940	CleaningCoagulation
00:00:13.960	CleaningCoagulation
00:00:13.980	CleaningCoagulation
00:00:14.000	CleaningCoagulation
00:00:14.020	CleaningCoagulation
00:00:14.040	CleaningCoagulation
00:00:14.060	CleaningCoagulation
00:00:14.080	CleaningCoagulation
00:00:14.100	CleaningCoagulation
00:00:14.120	CleaningCoagulation
00:00:14.140	CleaningCoagulation
00:00:14.160	CleaningCoagulation
00:00:14.180	CleaningCoagulation
00:00:14.200	CleaningCoagulation
00:00:14.220	CleaningCoagulation
00:00:14.240	CleaningCoagulation
00:00:14.260	CleaningCoagulation
00:00:14.280	CleaningCoagulation
00:00:14.300	CleaningCoagulation
00:00:14.320	CleaningCoagulation
00:00:14.340	CleaningCoagulation
00:00:14.360	CleaningCoagulation
00:00:14.380	CleaningCoagulation
00:00:14.400	CleaningCoagulation
00:00:14.420	CleaningCoagulation
00:00:14.440	CleaningCoagulation
00:00:14.460	CleaningCoagulation
00:00:14.480	CleaningCoagulation
00:00:14.500	CleaningCoagulation
00:00:14.520	CleaningCoagulation
00:00:14.540	CleaningCoagulation
00:00:14.560	CleaningCoagulation
00:00:14.580	CleaningCoagulation
00:00:14.600	CleaningCoagulation
00:00:14.620	CleaningCoagulation
00:00:14.640	CleaningCoagulation
00:00:14.660	CleaningCoagulation
00:00:14.680	CleaningCoagulation
00:00:14.700	CleaningCoagulation
00:00:14.720	CleaningCoagulation
00:00:14.740	CleaningCoagulation
00:00:14.760	CleaningCoagulation
00:00:14.780	CleaningCoagulation
00:00:14.800	CleaningCoagulation
00:00:14.820	CleaningCoagulation
00:00:14.840	CleaningCoagulation
00:00:14.860	CleaningCoagulation
00:00:14.880	CleaningCoagulation
00:00:14.900	CleaningCoagulation
00:00:14.920	CleaningCoagulation
00:00:14.940	CleaningCoagulation
00:00:14.960	CleaningCoagulation
00:00:14.980	CleaningCoagulation
00:00:15.000	CleaningCoagulation
00:00:15.020	CleaningCoagulation
00:00:15.040	CleaningCoagulation
00:00:15.060	CleaningCoagulation
00:00:15.080	CleaningCoagulation
00:00:15.100	CleaningCoagulation
00:00:15.120	CleaningCoagulation
00:00:15.140	CleaningCoagulation
00:00:15.160	CleaningCoagulation
00:00:15.180	CleaningCoagulation
00:00:15.200	CleaningCoagulation
00:00:15.220	CleaningCoagulation
00:00:15.240	CleaningCoagulation
00:00:15.260	CleaningCoagulation
00:00:15.280	CleaningCoagulation
00:00:15.300	CleaningCoagulation
00:00:15.320	CleaningCoagulation
00:00:15.340	CleaningCoagulation
00:00:15.360	CleaningCoagulation
00:00:15.380	CleaningCoagulation
00:00:15.400	CleaningCoagulation
00:00:15.420	CleaningCoagulation
00:00:15.440	CleaningCoagulation
00:00:15.460	CleaningCoagulation
00:00:15.480	CleaningCoagulation
00:00:15.500	CleaningCoagulation
00:00:15.520	CleaningCoagulation
00:00:15.540	CleaningCoagulation
00:00:15.560	CleaningCoagulation
00:00:15.580	CleaningCoagulation
00:00:15.600	CleaningCoagulation
00:00:15.620	CleaningCoagulation
00:00:15.640	CleaningCoagulation
00:00:15.660	CleaningCoagulation
00:00:15.680	CleaningCoagulation
00:00:15.700	CleaningCoagulation
00:00:15.720	CleaningCoagulation
00:00:15.740	CleaningCoagulation
00:00:15.760	CleaningCoagulation
00:00:15.780	CleaningCoagulation
00:00:15.800	CleaningCoagulation
00:00:15.820	CleaningCoagulation
00:00:15.840	CleaningCoagulation
00:00:15.860	CleaningCoagulation
00:00:15.880	CleaningCoagulation
00:00:15.900	CleaningCoagulation
00:00:15.920	CleaningCoagulation
00:00:15.940	CleaningCoagulation
00:00:15.960	CleaningCoagulation
00:00:15.980	CleaningCoagulation
00:00:16.000	CleaningCoagulation
00:00:16.020	CleaningCoagulation
00:00:16.040	CleaningCoagulation
00:00:16.060	CleaningCoagulation
00:00:16.080	CleaningCoagulation
00:00:16.100	CleaningCoagulation
00:00:16.120	CleaningCoagulation
00:00:16.140	CleaningCoagulation
00:00:16.160	CleaningCoagulation
00:00:16.180	CleaningCoagulation
00:00:16.200	CleaningCoagulation
00:00:16.220	CleaningCoagulation
00:00:16.240	CleaningCoagulation
00:00:16.260	CleaningCoagulation
00:00:16.280	CleaningCoagulation
00:00:16.300	CleaningCoagulation
00:00:16.320	CleaningCoagulation
00:00:16.340	CleaningCoagulation
00:00:16.360	CleaningCoagulation
00:00:16.380	CleaningCoagulation
00:00:16.400	CleaningCoagulation
00:00:16.420	CleaningCoagulation
00:00:16.440	CleaningCoagulation
00:00:16.460	CleaningCoagulation
00:00:16.480	CleaningCoagulation
00:00:16.500	CleaningCoagulation
00:00:16.520	CleaningCoagulation
00:00:16.540	CleaningCoagulation
00:00:16.560	CleaningCoagulation
00:00:16.580	CleaningCoagulation
00:00:16.600	CleaningCoagulation
00:00:16.620	CleaningCoagulation
00:00:16.640	CleaningCoagulation
00:00:16.660	CleaningCoagulation
00:00:16.680	CleaningCoagulation
00:00:16.700	CleaningCoagulation
